0 12023  7390  15266  6848  2912  3971  13572  5642  18797  2485  15278  1426  3921  15501  18763  17648  5643  10254  13342  2482  2914  8136  3904  3932  8344  198  4177  1992  1875  10283  7389  10132  14146  1987  8840  1438  17323  6072  7786  12474  15955  17484  3659  4674  14712  15960  6066  17338  12681  8947  10183  12811  4284  11112  6003  13027  14147  9641  13340  17662  3822  9282  8326  5524  5266  10181  2141  2705  3606  4673  15500  8032  2740  17324  3434  9959  11292  16589  10400  12472  5238  13855  1851  4553  10699  10179  7625  5281  4622  2153  6077  5681  8349  5834  9865  5056  13423  6858  11847  4771
1 2912  2914  15501  2485  11493  15360  5524  15500  4674  1426  15935  15278  15690  18763  4755  4791  18760  8130  14116  8349  688  3624  15266  236  14713  2716  3904  7390  10179  5266  8841  3480  2482  10254  14715  4587  11141  8344  4763  10398  12117  3631  8137  14502  1444  14117  15749  15745  18797  15949  10184  1992  3544  2644  7786  8583  11361  10183  9162  10747  8035  912  16222  867  5001  2503  5674  13423  820  12331  879  4181  1094  16095  10464  13967  4683  12026  4997  8843  3971  8560  2967  2968  4946  12119  15693  4943  15700  14501  10699  13572  4677  15519  2141  14410  8350  10283  4953  3863
2 4674  15960  733  9641  4589  11617  10395  2912  1444  11141  7793  14116  8351  14441  3918  11493  10709  14500  18761  5295  6386  18760  3624  8350  11773  4587  6848  14117  6612  11489  4177  4303  2689  8838  9959  17338  6296  11627  10471  11600  1992  11769  13423  12050  8834  12932  2914  12117  2878  236  9644  16911  6387  4725  6643  200  18333  16900  5419  10123  10781  15958  5817  10132  12057  10469  12337  15865  11621  14202  12331  15465  12811  1455  17484  5557  2038  6649  18503  14730  5628  2842  658  1633  736  1987  8126  10476  12024  2075  12814  9159  7957  5499  5465  14501  13627  4065  3921  8077
3 8045  3825  8044  16358  11496  8350  1633  2089  2711  6850  8351  1444  5674  9866  12331  14189  1707  12811  4363  10709  11503  2912  2914  1709  8843  14501  8077  1637  4555  6643  750  16355  11485  8068  8038  1958  3839  7652  7745  16946  4178  2598  18077  10395  10243  8035  1912  9159  16353  1645  10501  2705  8043  15759  9641  3971  8033  1639  2708  2716  10699  11489  10688  9856  16359  1063  17871  5409  6463  5021  3235  10693  3328  17486  11380  3722  2537  11731  1866  1455  4368  5295  12814  8840  17572  10159  8348  3536  8587  6375  17540  3735  2307  2234  5663  5205  818  18533  16437  5873
4 2920  15950  8034  2704  15951  14186  12116  12120  12029  6707  12764  10468  14187  10080  14188  6713  10393  2159  10394  13682  381  12022  8047  12025  3424  13837  12021  3906  8041  15430  12763  219  1403  18654  9403  15965  3130  11886  13348  2954  8706  10251  9703  6653  16686  11583  2712  15435  208  12679  13359  6422  14190  12114  9863  210  1762  8346  11889  11497  11899  17177  4383  1404  13632  2086  277  8715  6720  837  2136  5392  5949  2135  11379  15948  2717  9523  6641  18041  3706  15532  9398  15242  12028  15943  2398  11879  212  7131  12673  14286  3538  4296  13822  4186  8822  7639  12759  10504
5 8045  8044  2711  5674  5679  2708  17313  17316  3722  1987  4933  3768  10255  4555  3825  3619  9139  4683  6850  5733  6463  5735  9149  8077  1912  1993  1234  9695  7677  11383  2927  9685  13819  1707  11503  5053  7652  15759  14153  11485  2534  2994  1617  16353  3831  1866  7085  15360  7390  5225  8350  4290  5940  4303  4936  8043  2039  8840  17205  8068  2926  1992  8843  9623  5320  2529  11496  13170  4676  5617  10310  16355  8035  7080  1237  6845  11477  8412  4954  9120  9166  5950  5052  9630  51  5001  8704  15395  15797  2307  15392  1703  1053  5567  8351  4429  18533  1698  4178  2937
6 8045  11383  8044  592  594  2711  18533  17660  5320  1707  6463  8189  17179  11378  15941  15431  14154  3436  10217  8183  8843  15392  10255  15747  1993  1703  80  9685  15935  12327  4429  1773  3987  11751  6391  3430  7379  1992  9926  14153  4555  1021  9695  17205  1047  12122  9623  4368  818  2039  8587  12110  7388  1765  15394  1698  5324  5796  2310  17313  15930  8043  17316  17180  5052  18361  13038  1014  14520  2234  15089  2937  14446  12769  2994  990  8579  8077  5016  5567  7633  16304  8740  3619  5995  1987  16411  15395  3722  12765  18539  5021  4369  3864  11757  2247  5200  17847  10191  10705
7 8047  10393  10240  15372  6389  8835  17401  15367  10242  10247  4588  8547  83  7419  14182  12679  5630  8832  6396  5619  3910  7935  6384  1099  4089  18511  8011  2728  5998  6340  5992  10474  12925  8343  6791  2769  14510  15345  11614  10506  18654  10507  6877  14152  2719  18756  2046  10454  12931  17319  12941  8272  11747  9161  13335  3913  3827  10503  14505  1820  9557  11391  1989  3914  3824  9992  8562  4420  6175  2675  5293  13440  2410  12682  9012  10418  11967  8004  12940  17132  8337  4799  6707  13166  5986  3474  8869  12918  3481  4070  10661  15755  9228  18815  1963  7408  6902  143  11612  14211
8 8843  8045  18533  10255  15392  2540  592  594  10217  17205  15935  2711  17179  14154  2234  12124  5562  7992  8839  3546  2312  1765  51  1707  8771  1992  15503  14149  18539  4981  3549  14520  2310  12765  8740  11207  3722  8044  11605  8841  2038  15747  9685  16437  1813  4800  10122  3864  1815  4676  14482  2708  1773  8772  12753  1047  17180  10499  4429  5722  1855  11194  1964  15197  18036  1772  7988  5989  15749  7677  3825  2039  9996  11383  11420  3547  8006  15849  15941  7995  14509  2994  6837  8349  7710  2541  14481  17313  17316  10601  16254  9986  11613  2307  1698  4199  1703  12245  14765  6057
9 8034  14186  15950  9403  219  15430  5999  10393  4584  15943  213  2704  10468  210  10240  15435  8041  14187  11736  3628  6720  8047  13682  11753  6839  12116  9396  14496  13818  1099  17173  3424  4938  15951  18654  8626  13822  6182  3767  6185  10080  4231  3223  5949  9523  381  11746  2142  16686  12764  2712  12759  4576  14188  7820  10504  15532  3130  4296  8832  15670  5000  5952  1404  6653  8384  10578  8075  2398  17177  6357  6842  6011  8837  8207  6832  14494  17174  10390  3215  12120  6089  2772  6468  5487  8346  6791  11379  15933  239  10394  2086  9863  4355  17627  16392  11730  6899  14837  6833
10 8047  4938  10393  83  6791  8835  11747  6428  4824  11614  8036  15372  11755  3477  9396  10240  3473  6645  4243  12679  4588  3478  11501  3653  3655  8065  9795  3474  15000  3424  1452  3220  10315  4932  1820  9799  6960  13359  9403  3429  14152  13682  17745  2920  6671  10247  874  4615  12326  1963  9161  5992  14182  9012  14287  8046  1814  12682  17750  8034  3551  10474  14285  2769  2715  2532  15101  10454  11500  9152  16722  10242  15367  11492  18511  10386  11736  8384  5144  13684  1099  4208  2290  18241  14150  13440  6449  14491  17055  9443  13632  15426  4924  14489  8272  11499  3215  13442  6178  15435
11 8041  11381  8837  5999  1631  50  12116  14391  6182  8034  12114  1646  17173  1644  5423  17616  12120  4296  6385  14393  3655  11379  10240  9160  4584  5672  5317  17321  15670  4824  11384  8626  10390  8631  4945  14394  17620  9863  6595  15752  17858  1871  9150  53  13982  10418  5998  9718  3717  7943  14186  15426  4938  381  6177  6185  14395  11382  6653  10242  3215  14397  2741  16494  2229  9398  11747  8075  7820  3719  1622  15943  2136  2135  15435  2142  9229  8981  5419  10069  2257  3914  6468  3988  5066  11409  14399  8842  4437  15364  9163  15933  8047  3628  6641  5992  4302  4231  6860  6190
12 8843  15759  15749  8014  3549  5989  11383  1178  15745  11378  15747  4555  3864  4065  1617  12124  3654  8045  5990  3735  2278  2315  8038  3622  1990  15793  13541  12022  5943  15394  12021  9953  6004  17205  170  9517  15750  4817  3722  10255  11193  16038  17313  4170  5306  18036  6896  10126  16403  1174  8033  17179  10243  17683  16437  3541  7315  12817  13961  4687  398  12361  8044  12769  7824  17108  16082  14153  8006  9158  1813  11194  4428  1629  7167  1168  1054  8771  1993  5562  15935  4046  2988  2708  10669  3289  8841  1668  11515  2711  4429  18533  17604  8075  10698  5950  10003  17180  8153  11917
13 8014  8033  8038  3541  5989  3549  1990  5990  3546  8045  380  8044  15793  1637  8843  15747  3864  15759  2315  16038  3479  5021  15749  4429  3722  8903  15394  13223  5016  55  3536  2307  4817  3125  6003  8006  15395  15745  5367  13228  51  5943  6004  9156  8538  12124  5406  9329  1178  3764  1617  4344  5356  369  15145  6727  6579  7167  8068  15750  3721  15935  3769  14159  15928  10596  6850  7824  6789  14475  16035  3660  3623  5611  8076  8847  6057  18497  1813  14054  5528  3439  13961  10391  4545  3657  9445  16403  5984  9517  9953  14445  8587  2018  3658  9155  5281  5600  405  2402
14 8047  83  14182  10393  11747  6791  5992  11755  15372  4243  5672  5999  10240  5986  4932  6960  9160  12679  3220  6645  6428  8856  8046  4189  15367  4938  4588  11492  8835  7378  1963  5998  10474  5005  3474  5293  9163  8040  5835  3429  1452  1820  12648  18511  7670  2728  8836  6787  17745  10315  14152  18756  4241  8004  3215  6396  5004  11500  10247  8334  5023  3424  6389  17750  8578  13359  15000  7994  14144  3473  12651  4824  8036  6961  14181  6384  4924  1761  15965  6892  5003  2410  17401  8869  5006  845  8072  14811  1099  10475  11851  13684  1814  5997  10242  10454  11736  8272  3477  18505
15 1631  8837  9229  8041  3487  3484  1625  205  5998  12116  2918  2917  8836  3485  1622  10240  1989  7824  2536  8842  822  2594  10387  12114  7385  10246  15929  4296  3929  6385  603  8037  5992  7364  232  9228  11358  15401  4197  5986  1644  6920  9718  4231  5947  9393  601  6182  10388  17321  4074  14391  6856  15752  5257  9592  5287  12803  3988  9150  9992  17111  17998  10390  5936  8404  827  564  1871  6007  9606  10389  82  8406  8403  2830  7218  8871  12241  6926  15406  9600  3213  9861  1628  13084  3578  3625  16989  5999  14397  670  2309  3215  7820  7246  14399  1841  3910  6909
16 8391  8410  8399  297  8406  10223  5527  208  2301  11980  3390  84  8404  8397  1011  8395  3381  8403  5531  2290  4165  18336  6607  3423  80  5529  7131  5434  5521  303  7016  289  5374  15265  2865  7310  45  7994  6218  3770  9523  6634  1160  3893  5297  5842  4325  7013  11715  14279  10221  290  3574  10497  2879  212  7880  7954  10301  5180  9552  3310  3418  5310  7996  5664  4552  7986  4712  3571  7120  1059  8067  11696  1017  9532  15270  10615  5534  7614  11884  5947  17065  3528  11747  6735  4938  437  3021  13568  9852  17509  4741  8301  9621  1980  10212  14064  15273  10993
17 18336  10223  208  3889  8399  63  9756  4108  11907  8410  5434  12088  4518  9639  17503  7057  10047  2721  6812  16173  16171  3127  10999  3789  8397  437  8391  85  10212  5365  6613  13934  9973  212  6436  2932  2934  3224  82  8010  4865  6393  10221  6617  4367  10993  9633  2931  7803  7482  5280  12083  4943  2473  8190  3517  5175  9634  2290  8301  7964  5814  7419  7016  7801  11687  6623  17158  3292  3286  9007  11980  3108  12093  6606  6258  3423  4746  2785  14877  8626  6086  4357  3096  14871  5276  10215  2916  13555  6610  8395  7970  6268  3829  6682  6099  3194  11246  3615  546
18 5291  12091  2953  6784  12086  51  6667  13359  3188  17745  83  57  10216  10225  17750  49  8955  6085  5290  10233  80  12578  4132  82  3894  42  1625  6789  512  14804  2576  13556  7080  5646  10209  18671  17303  12664  8956  5430  4161  14287  8959  1294  43  3012  15078  11667  10647  16677  518  16201  17222  3890  3888  14806  13206  2876  2877  13348  7059  8744  14540  8950  4822  11778  1165  7765  5943  2291  3944  15075  18670  11702  1287  5435  13643  7097  3826  10210  3473  8407  708  2587  1027  9754  16194  17519  13354  18236  6089  6576  6582  3417  8405  2649  17510  4833  5843  6504
19 1009  7013  6113  1108  1010  7016  8388  12088  7482  390  3829  9750  2932  3728  237  735  3194  387  395  6115  5608  233  12093  3016  5360  7532  212  7478  219  1333  11835  8422  4200  8876  521  11028  7984  11414  297  3577  2879  10353  725  393  11854  5180  6610  13635  6114  3163  9626  1391  3485  7481  13637  268  303  409  10912  11623  15684  2037  83  2883  2865  3475  5228  7521  9756  382  929  7766  10544  1118  11624  8386  5364  9752  2991  2936  11980  16907  11840  4326  5221  7611  1720  5015  7400  5577  2478  7194  11716  11991  3487  5175  10326  15880  2979  11075
20 2933  8955  12086  51  2953  8959  10216  83  4913  4132  12091  9616  11585  934  11680  5430  10214  17303  12664  3188  6576  4102  6043  16453  406  3161  2930  8412  5360  6582  4837  3832  3421  4919  3727  95  13480  11689  11594  8407  3104  10209  10341  16680  4526  1557  15221  10340  80  2744  16450  16457  13153  5969  9750  11914  7547  3586  6760  5311  5107  13397  13151  5435  15276  6560  3012  11499  10342  8953  11  17523  6117  8956  15920  15360  8714  12106  4711  11114  8405  4461  5491  518  11692  13206  5291  3417  2985  4456  3713  15637  15231  6363  786  384  57  9756  2239  6784
21 1009  6113  1010  3194  735  6114  725  15860  10353  1108  14279  1333  2635  3728  16597  2485  7478  7013  2883  290  5277  8393  8388  9463  10623  6115  16603  8196  8422  16594  929  293  11414  2870  11854  303  12383  7482  7194  297  6965  237  15825  8390  3746  3002  3248  361  3163  2478  3616  7016  13637  2932  4451  83  13635  4139  10639  8408  12088  15867  14151  251  218  1739  14180  1034  6168  8385  687  11840  3577  14277  9224  11623  8430  16600  8425  12093  7965  11824  10421  8416  4323  11977  9750  5969  1287  5902  3485  4814  6963  11835  1294  9555  17824  11035  1426  4196
22 93  5602  3826  7898  81  1093  87  16970  3834  2580  14275  4542  6922  8966  795  2593  211  8354  13490  17917  7892  9979  3892  8413  12159  1918  7879  8409  66  1099  1660  12591  10999  2360  4133  1648  9529  1661  11444  1009  12733  1788  14147  11089  3846  5503  17833  16971  8394  8749  9526  92  14043  4677  3262  8927  5429  4525  5197  7332  6647  1086  4628  2516  11092  8094  17918  17826  7993  2734  8358  3932  8952  15645  13728  5983  8964  436  17830  5370  2378  15644  17828  797  8142  12590  12092  830  18017  1379  12141  11093  52  12157  298  11134  15483  4676  389  1177
23 85  8354  4133  3892  2135  2136  9744  8358  8156  56  12089  3301  3297  2675  6922  8357  2868  3023  9751  3901  11600  16765  12448  76  5873  1788  6946  12591  16759  93  1626  10999  3595  15890  385  10817  7799  11981  3377  92  8737  8246  16761  228  4487  1642  16756  4884  18447  16767  5064  486  3025  16763  11444  14389  516  17078  4178  10563  12367  11903  3827  1009  2516  8639  11537  5857  1639  16753  14044  6699  3119  15836  1093  4654  4736  3884  5281  302  8541  121  13603  10119  3978  14106  5783  18587  490  8325  13604  15359  12420  5525  17502  4676  17120  8948  11222  5587
